
k-point 0:
----------------------------------------
n=0         -3.121382 +        0.000000i
n=1         -3.121833 +        0.000000i
n=2         -3.139472 +       -0.000000i
n=3         -2.658175 +        0.000000i
n=4         -2.658541 +        0.000000i
n=5         -2.897658 +       -0.000000i
n=6         -2.904773 +       -0.000000i
n=7         -2.807364 +       -0.000000i
n=8         -2.821580 +       -0.000000i
n=9         -2.700732 +        0.000000i

k-point 1:
----------------------------------------
n=0         -2.341966 +       -0.000000i
n=1         -2.687300 +       -0.000000i
n=2         -2.687373 +       -0.000000i
n=3         -2.498677 +        0.000000i
n=4         -2.496522 +        0.000000i
n=5         -2.652316 +       -0.000000i
n=6         -2.605478 +       -0.000000i
n=7         -3.031248 +       -0.000000i
n=8         -2.994418 +       -0.000000i
n=9         -2.580246 +       -0.000000i

k-point 2:
----------------------------------------
n=0         -2.324394 +        0.000000i
n=1         -2.688465 +        0.000000i
n=2         -2.684433 +       -0.000000i
n=3         -2.489014 +        0.000000i
n=4         -2.489978 +        0.000000i
n=5         -2.644773 +        0.000000i
n=6         -2.637713 +       -0.000000i
n=7         -2.985940 +       -0.000000i
n=8         -3.034546 +       -0.000000i
n=9         -2.587174 +       -0.000000i

k-point 3:
----------------------------------------
n=0         -2.258347 +       -0.000000i
n=1         -2.621725 +        0.000000i
n=2         -2.622532 +        0.000000i
n=3         -2.456733 +        0.000000i
n=4         -2.451286 +        0.000000i
n=5         -2.702967 +        0.000000i
n=6         -2.746911 +       -0.000000i
n=7         -3.024906 +        0.000000i
n=8         -2.814430 +        0.000000i
n=9         -2.575612 +       -0.000000i

k-point 4:
----------------------------------------
n=0         -2.215847 +        0.000000i
n=1         -2.599819 +       -0.000000i
n=2         -2.593970 +       -0.000000i
n=3         -2.846926 +        0.000000i
n=4         -2.826454 +        0.000000i
n=5         -2.704745 +       -0.000000i
n=6         -2.703356 +       -0.000000i
n=7         -2.579863 +       -0.000000i
n=8         -2.585128 +       -0.000000i
n=9         -3.103868 +        0.000000i

k-point 5:
----------------------------------------
n=0         -2.269494 +       -0.000000i
n=1         -2.503771 +       -0.000000i
n=2         -2.501908 +       -0.000000i
n=3         -2.487924 +       -0.000000i
n=4         -2.490381 +       -0.000000i
n=5         -2.786443 +        0.000000i
n=6         -2.748997 +        0.000000i
n=7         -2.769242 +        0.000000i
n=8         -2.741434 +        0.000000i
n=9         -2.586549 +        0.000000i

k-point 6:
----------------------------------------
n=0         -2.251825 +        0.000000i
n=1         -2.624839 +        0.000000i
n=2         -2.633144 +        0.000000i
n=3         -2.460730 +        0.000000i
n=4         -2.471761 +        0.000000i
n=5         -2.699918 +       -0.000000i
n=6         -2.743346 +        0.000000i
n=7         -2.896537 +        0.000000i
n=8         -2.930776 +        0.000000i
n=9         -2.598811 +       -0.000000i

k-point 7:
----------------------------------------
n=0         -2.280043 +       -0.000000i
n=1         -2.493286 +       -0.000000i
n=2         -2.499105 +       -0.000000i
n=3         -2.530763 +       -0.000000i
n=4         -2.531692 +       -0.000000i
n=5         -2.739262 +        0.000000i
n=6         -2.748750 +        0.000000i
n=7         -2.741139 +        0.000000i
n=8         -2.747427 +        0.000000i
n=9         -2.578396 +       -0.000000i

k-point 8:
----------------------------------------
n=0         -2.234079 +        0.000000i
n=1         -2.597983 +       -0.000000i
n=2         -2.591816 +       -0.000000i
n=3         -2.940146 +        0.000000i
n=4         -2.916654 +        0.000000i
n=5         -2.710194 +        0.000000i
n=6         -2.709054 +        0.000000i
n=7         -2.572959 +       -0.000000i
n=8         -2.578455 +       -0.000000i
n=9         -2.995163 +        0.000000i
